imageId,articleTypeName,categoryName,articleTypeId,categoryId
55851,Nail Polish,Nails,28,18
51316,Backpacks,Bags,15,2
42130,Sports Shoes,Shoes,4,1
50152,Heels,Shoes,8,1
46978,Handbags,Bags,7,2
55148,Nail Polish,Nails,28,18
40757,Flip Flops,Flip Flops,11,11
16067,Trousers,Bottomwear,21,4
39028,Watches,Watches,3,3
32460,Tshirts,Topwear,0,0
25211,Handbags,Bags,7,2
45575,Formal Shoes,Shoes,17,1
4899,Tshirts,Topwear,0,0
27430,Tshirts,Topwear,0,0
45163,Watches,Watches,3,3
37656,Socks,Socks,16,13
4641,Sports Shoes,Shoes,4,1
59689,Bra,Innerwear,23,5
58948,Deodorant,Fragrance,27,8
22052,Kurtas,Topwear,5,0
3356,Tshirts,Topwear,0,0
16646,Tshirts,Topwear,0,0
20397,Handbags,Bags,7,2
6764,Tshirts,Topwear,0,0
28629,Tshirts,Topwear,0,0
14962,Wallets,Wallets,10,10
26447,Clutches,Bags,31,2
31332,Casual Shoes,Shoes,2,1
45333,Heels,Shoes,8,1
7102,Backpacks,Bags,15,2
31407,Briefs,Innerwear,13,5
39782,Shirts,Topwear,1,0
48636,Earrings,Jewellery,26,6
19440,Caps,Headwear,33,19
18539,Casual Shoes,Shoes,2,1
58881,Ties,Ties,36,20
52899,Sarees,Saree,25,16
6184,Flip Flops,Flip Flops,11,11
2807,Casual Shoes,Shoes,2,1
34222,Tshirts,Topwear,0,0
19709,Shirts,Topwear,1,0
23837,Sports Shoes,Shoes,4,1
19502,Socks,Socks,16,13
31425,Trousers,Bottomwear,21,4
5414,Tops,Topwear,6,0
9688,Tshirts,Topwear,0,0
46439,Watches,Watches,3,3
15105,Kurtas,Topwear,5,0
31266,Tshirts,Topwear,0,0
37798,Shirts,Topwear,1,0
24473,Sports Shoes,Shoes,4,1
6558,Tshirts,Topwear,0,0
25268,Handbags,Bags,7,2
43643,Dresses,Dress,24,14
34152,Tops,Topwear,6,0
5096,Tshirts,Topwear,0,0
57448,Tshirts,Topwear,0,0
38574,Track Pants,Bottomwear,30,4
20967,Handbags,Bags,7,2
2065,Tshirts,Topwear,0,0
44014,Perfume and Body Mist,Fragrance,18,8
42240,Tops,Topwear,6,0
11345,Jeans,Bottomwear,19,4
19794,Tshirts,Topwear,0,0
8741,Shirts,Topwear,1,0
4197,Tshirts,Topwear,0,0
4575,Sports Shoes,Shoes,4,1
15419,Backpacks,Bags,15,2
52816,Watches,Watches,3,3
36136,Sports Shoes,Shoes,4,1
23827,Flip Flops,Flip Flops,11,11
32834,Flats,Shoes,22,1
52834,Earrings,Jewellery,26,6
26802,Shirts,Topwear,1,0
5447,Shirts,Topwear,1,0
59635,Sarees,Saree,25,16
52882,Sarees,Saree,25,16
3419,Tshirts,Topwear,0,0
17893,Innerwear Vests,Innerwear,37,5
40534,Watches,Watches,3,3
8688,Sunglasses,Eyewear,9,7
56275,Bra,Innerwear,23,5
47989,Watches,Watches,3,3
21547,Handbags,Bags,7,2
21335,Sunglasses,Eyewear,9,7
23962,Jackets,Topwear,35,0
53065,Handbags,Bags,7,2
7126,Track Pants,Bottomwear,30,4
22227,Tshirts,Topwear,0,0
21556,Handbags,Bags,7,2
34730,Wallets,Wallets,10,10
23642,Tshirts,Topwear,0,0
27138,Bra,Innerwear,23,5
11818,Casual Shoes,Shoes,2,1
27994,Briefs,Innerwear,13,5
14078,Tshirts,Topwear,0,0
7362,Tops,Topwear,6,0
17590,Sunglasses,Eyewear,9,7
24047,Tshirts,Topwear,0,0
25681,Watches,Watches,3,3
11447,Sweaters,Topwear,34,0
37633,Tshirts,Topwear,0,0
46735,Watches,Watches,3,3
1642,Sports Shoes,Shoes,4,1
11708,Shirts,Topwear,1,0
17712,Casual Shoes,Shoes,2,1
39770,Shirts,Topwear,1,0
9834,Tshirts,Topwear,0,0
35570,Casual Shoes,Shoes,2,1
19745,Tshirts,Topwear,0,0
33560,Tshirts,Topwear,0,0
45763,Deodorant,Fragrance,27,8
59435,Formal Shoes,Shoes,17,1
16895,Sunglasses,Eyewear,9,7
22767,Kurtas,Topwear,5,0
10393,Watches,Watches,3,3
33633,Handbags,Bags,7,2
13423,Tshirts,Topwear,0,0
49694,Ties,Ties,36,20
18163,Handbags,Bags,7,2
42668,Kurtas,Topwear,5,0
48213,Sunglasses,Eyewear,9,7
57944,Sandals,Sandal,12,9
40617,Kurtas,Topwear,5,0
27514,Briefs,Innerwear,13,5
45977,Tops,Topwear,6,0
36322,Tshirts,Topwear,0,0
12087,Kurtas,Topwear,5,0
22925,Watches,Watches,3,3
18522,Jackets,Topwear,35,0
58744,Tshirts,Topwear,0,0
48141,Wallets,Wallets,10,10
49487,Casual Shoes,Shoes,2,1
3432,Tshirts,Topwear,0,0
4311,Tshirts,Topwear,0,0
20839,Casual Shoes,Shoes,2,1
51170,Socks,Socks,16,13
28536,Tshirts,Topwear,0,0
44890,Tshirts,Topwear,0,0
15194,Tshirts,Topwear,0,0
5876,Handbags,Bags,7,2
23132,Tshirts,Topwear,0,0
5889,Tshirts,Topwear,0,0
31864,Watches,Watches,3,3
53784,Shirts,Topwear,1,0
36483,Casual Shoes,Shoes,2,1
23799,Flats,Shoes,22,1
15853,Sandals,Sandal,12,9
5499,Tshirts,Topwear,0,0
41982,Tshirts,Topwear,0,0
42079,Wallets,Wallets,10,10
15322,Jackets,Topwear,35,0
2616,Flats,Shoes,22,1
52910,Sarees,Saree,25,16
21400,Tshirts,Topwear,0,0
43513,Dresses,Dress,24,14
23852,Sports Shoes,Shoes,4,1
26952,Tops,Topwear,6,0
43167,Watches,Watches,3,3
1964,Casual Shoes,Shoes,2,1
44493,Casual Shoes,Shoes,2,1
44977,Watches,Watches,3,3
37965,Heels,Shoes,8,1
58636,Socks,Socks,16,13
5944,Casual Shoes,Shoes,2,1
7163,Tshirts,Topwear,0,0
39769,Shirts,Topwear,1,0
49652,Tops,Topwear,6,0
9186,Jeans,Bottomwear,19,4
17125,Handbags,Bags,7,2
21610,Bra,Innerwear,23,5
34799,Belts,Belts,14,12
19890,Belts,Belts,14,12
18934,Tshirts,Topwear,0,0
57066,Jackets,Topwear,35,0
57309,Heels,Shoes,8,1
44051,Perfume and Body Mist,Fragrance,18,8
35047,Kurtas,Topwear,5,0
27537,Shirts,Topwear,1,0
24918,Tops,Topwear,6,0
3723,Tshirts,Topwear,0,0
58661,Kurtas,Topwear,5,0
33279,Jeans,Bottomwear,19,4
34210,Tshirts,Topwear,0,0
42887,Clutches,Bags,31,2
31558,Trousers,Bottomwear,21,4
9264,Shirts,Topwear,1,0
45383,Flats,Shoes,22,1
9976,Sweatshirts,Topwear,32,0
23662,Tshirts,Topwear,0,0
43650,Tops,Topwear,6,0
31876,Sarees,Saree,25,16
31028,Shirts,Topwear,1,0
43341,Sports Shoes,Shoes,4,1
17127,Handbags,Bags,7,2
17831,Casual Shoes,Shoes,2,1
16550,Shirts,Topwear,1,0
30612,Tshirts,Topwear,0,0
48477,Dresses,Dress,24,14
9556,Tshirts,Topwear,0,0
9174,Jeans,Bottomwear,19,4
34423,Tshirts,Topwear,0,0
53878,Flip Flops,Flip Flops,11,11
43300,Flip Flops,Flip Flops,11,11
2268,Sweatshirts,Topwear,32,0
10803,Shirts,Topwear,1,0
45414,Flats,Shoes,22,1
11867,Flip Flops,Flip Flops,11,11
11255,Tshirts,Topwear,0,0
17881,Innerwear Vests,Innerwear,37,5
18725,Sweaters,Topwear,34,0
