imageId,articleTypeName,categoryName,articleTypeId,categoryId
20763,Flats,Shoes,22,1
5386,Sports Shoes,Shoes,4,1
40983,Tshirts,Topwear,0,0
20211,Sweatshirts,Topwear,32,0
56941,Heels,Shoes,8,1
17953,Caps,Headwear,33,19
51624,Watches,Watches,3,3
8516,Backpacks,Bags,15,2
3635,Sports Shoes,Shoes,4,1
54697,Kurtas,Topwear,5,0
19555,Tshirts,Topwear,0,0
50202,Sunglasses,Eyewear,9,7
53577,Watches,Watches,3,3
16287,Tshirts,Topwear,0,0
11228,Watches,Watches,3,3
15818,Innerwear Vests,Innerwear,37,5
10615,Casual Shoes,Shoes,2,1
33541,Tops,Topwear,6,0
3203,Tshirts,Topwear,0,0
19881,Flip Flops,Flip Flops,11,11
40287,Sandals,Sandal,12,9
5731,Sports Shoes,Shoes,4,1
7851,Tshirts,Topwear,0,0
45344,Heels,Shoes,8,1
12902,Casual Shoes,Shoes,2,1
20144,Shirts,Topwear,1,0
7374,Casual Shoes,Shoes,2,1
25366,Innerwear Vests,Innerwear,37,5
23047,Sweaters,Topwear,34,0
25176,Handbags,Bags,7,2
23171,Tshirts,Topwear,0,0
57545,Lipstick,Lips,29,15
32162,Socks,Socks,16,13
8487,Dresses,Dress,24,14
33077,Tshirts,Topwear,0,0
22210,Tshirts,Topwear,0,0
12037,Shirts,Topwear,1,0
18805,Belts,Belts,14,12
41868,Sandals,Sandal,12,9
56913,Heels,Shoes,8,1
34564,Dresses,Dress,24,14
32858,Heels,Shoes,8,1
32254,Kurtis,Topwear,38,0
6118,Tshirts,Topwear,0,0
6505,Formal Shoes,Shoes,17,1
7875,Shorts,Bottomwear,20,4
17232,Tshirts,Topwear,0,0
47032,Kurtas,Topwear,5,0
27818,Belts,Belts,14,12
43897,Tshirts,Topwear,0,0
45171,Watches,Watches,3,3
38418,Belts,Belts,14,12
46955,Perfume and Body Mist,Fragrance,18,8
26847,Perfume and Body Mist,Fragrance,18,8
20481,Wallets,Wallets,10,10
9187,Jeans,Bottomwear,19,4
36365,Ties,Ties,36,20
33701,Formal Shoes,Shoes,17,1
48153,Wallets,Wallets,10,10
29088,Casual Shoes,Shoes,2,1
41467,Flats,Shoes,22,1
20840,Sandals,Sandal,12,9
51625,Watches,Watches,3,3
26279,Tshirts,Topwear,0,0
18581,Socks,Socks,16,13
46609,Heels,Shoes,8,1
56469,Nail Polish,Nails,28,18
59876,Dresses,Dress,24,14
37581,Shorts,Bottomwear,20,4
39607,Heels,Shoes,8,1
58571,Shorts,Bottomwear,20,4
45625,Casual Shoes,Shoes,2,1
9087,Casual Shoes,Shoes,2,1
55981,Lipstick,Lips,29,15
13948,Jeans,Bottomwear,19,4
14642,Shirts,Topwear,1,0
32000,Socks,Socks,16,13
49247,Caps,Headwear,33,19
8737,Shirts,Topwear,1,0
28219,Deodorant,Fragrance,27,8
10129,Formal Shoes,Shoes,17,1
11108,Shirts,Topwear,1,0
9343,Shorts,Bottomwear,20,4
9638,Shirts,Topwear,1,0
12052,Tshirts,Topwear,0,0
24085,Sweatshirts,Topwear,32,0
16361,Shirts,Topwear,1,0
11616,Kurtas,Topwear,5,0
47212,Formal Shoes,Shoes,17,1
22131,Formal Shoes,Shoes,17,1
44404,Sports Shoes,Shoes,4,1
29237,Flats,Shoes,22,1
13074,Casual Shoes,Shoes,2,1
39328,Shorts,Bottomwear,20,4
52950,Sarees,Saree,25,16
16193,Sweaters,Topwear,34,0
12225,Tshirts,Topwear,0,0
20062,Caps,Headwear,33,19
23272,Watches,Watches,3,3
58239,Wallets,Wallets,10,10
15749,Trousers,Bottomwear,21,4
51751,Flats,Shoes,22,1
7503,Tshirts,Topwear,0,0
9339,Tshirts,Topwear,0,0
38681,Wallets,Wallets,10,10
11041,Shirts,Topwear,1,0
22660,Handbags,Bags,7,2
51354,Jeans,Bottomwear,19,4
18290,Kurtas,Topwear,5,0
30803,Shirts,Topwear,1,0
